activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749427713.6404753,1
aggregation,,True,,,1,GossipAvg,1749427724.2572873,
aggregation,,False,,,1,GossipAvg,1749427724.2572935,
model_update,,,,10.054959838654352,1,,1749427727.5359304,
local_training,,,{},,2,,1749427728.0506804,1
aggregation,,True,,,2,GossipAvg,1749427733.0708127,
aggregation,,False,,,2,GossipAvg,1749427733.0708194,
model_update,,,,4.225101484158922,2,,1749427735.758991,
local_training,,,{},,3,,1749427736.2631085,1
aggregation,,True,,,3,GossipAvg,1749427741.2814093,
aggregation,,False,,,3,GossipAvg,1749427741.2814157,
model_update,,,,3.9087753964706304,3,,1749427743.826353,
