activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749400598.0280614,1
aggregation,,False,,,1,GossipAvg,1749400607.526121,
aggregation,,True,,,1,GossipAvg,1749400607.5261302,
aggregation,,False,,,1,GossipAvg,1749400607.5261376,
model_update,,,,6.188359050578983,1,,1749400608.0950937,
local_training,,,{},,2,,1749400608.4334252,1
aggregation,,False,,,2,GossipAvg,1749400610.6782792,
aggregation,,True,,,2,GossipAvg,1749400610.678286,
aggregation,,False,,,2,GossipAvg,1749400610.6782935,
model_update,,,,6.611682991970154,2,,1749400611.2131052,
local_training,,,{},,3,,1749400611.5486877,1
aggregation,,False,,,3,GossipAvg,1749400613.8962884,
aggregation,,True,,,3,GossipAvg,1749400613.896296,
aggregation,,False,,,3,GossipAvg,1749400613.896303,
model_update,,,,6.607620164358401,3,,1749400614.4288764,
