activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749418490.3238187,1
aggregation,,True,,,1,GossipAvg,1749418535.701504,
aggregation,,False,,,1,GossipAvg,1749418535.7015197,
aggregation,,False,,,1,GossipAvg,1749418535.7015555,
model_update,,,,2.267594777637298,1,,1749418537.8242035,
local_training,,,{},,2,,1749418538.3354466,1
aggregation,,True,,,2,GossipAvg,1749418574.8425214,
aggregation,,False,,,2,GossipAvg,1749418574.8425329,
aggregation,,False,,,2,GossipAvg,1749418574.8425686,
model_update,,,,2.429108212646404,2,,1749418576.67153,
local_training,,,{},,3,,1749418577.176689,1
aggregation,,True,,,3,GossipAvg,1749418613.8379722,
aggregation,,False,,,3,GossipAvg,1749418613.8379838,
aggregation,,False,,,3,GossipAvg,1749418613.8380177,
model_update,,,,2.434826852372575,3,,1749418615.6767378,
