activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749433912.2031226,1
aggregation,,True,,,1,GossipAvg,1749433930.8136966,
aggregation,,False,,,1,GossipAvg,1749433930.8137045,
model_update,,,,0.6847149689831721,1,,1749433937.3970008,
local_training,,,{},,2,,1749433937.8996885,1
aggregation,,True,,,2,GossipAvg,1749433947.427148,
aggregation,,False,,,2,GossipAvg,1749433947.4271553,
model_update,,,,0.9015637588883483,2,,1749433953.711331,
local_training,,,{},,3,,1749433954.2044413,1
aggregation,,True,,,3,GossipAvg,1749433963.773623,
aggregation,,False,,,3,GossipAvg,1749433963.7736304,
model_update,,,,0.9368001691430844,3,,1749433969.9644697,
