activity_type,current_epoch,is_aggregator,metrics,param_convergence,round_num,strategy_name,timestamp,total_epochs
local_training,,,{},,1,,1749416945.7107093,1
aggregation,,False,,,1,GossipAvg,1749416981.475193,
aggregation,,False,,,1,GossipAvg,1749416981.4752393,
aggregation,,True,,,1,GossipAvg,1749416981.4752457,
model_update,,,,4511.081064144058,1,,1749416983.5426214,
local_training,,,{},,2,,1749416984.0378635,1
aggregation,,False,,,2,GossipAvg,1749417014.7715213,
aggregation,,False,,,2,GossipAvg,1749417014.7715604,
aggregation,,True,,,2,GossipAvg,1749417014.7715669,
model_update,,,,4202.744787119308,2,,1749417016.4793234,
local_training,,,{},,3,,1749417016.952877,1
aggregation,,False,,,3,GossipAvg,1749417047.361358,
aggregation,,False,,,3,GossipAvg,1749417047.3613968,
aggregation,,True,,,3,GossipAvg,1749417047.361403,
model_update,,,,3663.260633052168,3,,1749417049.0168676,
